Series Name,Series Code,Country Name,Country Code,Scale (Precision),2019Q2 [YR2019Q2],2019Q3 [YR2019Q3],2019Q4 [YR2019Q4],2020Q1 [YR2020Q1],2020Q2 [YR2020Q2],2020Q3 [YR2020Q3],2020Q4 [YR2020Q4],2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],,2020Q2-1,2020Q3-2,2020Q4-3,2021Q1-2020Q4,2021Q2-2021Q1,
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Argentina,ARG,Millions (0),283130,276815,278489,274674,271116,268761,271443,269482,269158,,-3558,-2355,2682,-1961,-324,-269158
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Armenia,ARM,Millions (0),11465,11666,12341,12023,12547,12634,12901,13138,14045,,524,87,267,237,907,-14045
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Australia,AUS,Millions (0),1486813,1482331,1523544,1440055,1488990,1548686,1656499,1609863,1616941,,48935,59696,107813,-46636,7078,-1616941
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Austria,AUT,Millions (0),695152,690221,686438,678375,715119,745462,767538,736983,741409,,36744,30343,22076,-30555,4426,-741409
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Belarus,BLR,Millions (0),40071,39673,40723,39469,41116,40561,42048,41055,42275,,1647,-555,1487,-993,1220,-42275
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Belgium,BEL,Millions (0),1356852,1348601,1358160,1363701,1395302,1430176,1463447,1403956,1442009,,31601,34874,33271,-59491,38053,-1442009
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Brazil,BRA,Millions (0),697401,672885,675789,639821,619416,621561,639308,630750,649598,,-20405,2145,17747,-8558,18848,-649598
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Bulgaria,BGR,Millions (0),39760,38871,40103,39517,40341,46506,48626,45588,47038,,824,6165,2120,-3038,1450,-47038
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Canada,CAN,Millions (0),2116318,2136888,2221818,2118021,2220623,2267169,2449444,2410527,2480436,,102602,46546,182275,-38917,69909,-2480436
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Chile,CHL,Millions (0),192837,194353,197234,195805,206126,207394,208981,209510,213283,,10321,1268,1587,529,3773,-213283
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,China,CHN,Millions (0),2015519,2049519,2070810,2107903,2145718,2308320,2400807,2526638,2679823,,37815,162602,92487,125831,153185,-2679823
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Colombia,COL,Millions (0),134956,136141,138088,140543,146843,147733,154502,153510,157492,,6300,890,6769,-992,3982,-157492
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Costa Rica,CRI,Millions (0),28973,29178,30890,29956,30764,31155,31823,,,,808,391,668,-31823,0,0
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Croatia,HRV,Millions (0),50656,46549,45257,44117,46333,48051,49186,51055,52526,,2216,1718,1135,1869,1471,-52526
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Cyprus,CYP,Millions (0),222163,208998,217980,210825,215871,224192,233673,225692,229684,,5046,8321,9481,-7981,3992,-229684
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Czech Republic,CZE,Millions (0),194924,187570,193773,179433,183138,187872,201110,191816,195150,,3705,4734,13238,-9294,3334,-195150
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Denmark,DNK,Millions (0),518583,504214,502492,508994,555185,582557,606429,582021,599350,,46191,27372,23872,-24408,17329,-599350
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Ecuador,ECU,Millions (0),49839,51584,52717,52576,52715,52358,57125,56843,56001,,139,-357,4767,-282,-842,-56001
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,"Egypt, Arab Rep.",EGY,Millions (0),108699,109363,112671,111292,123490,125338,129196,134841,137860,,12198,1848,3858,5645,3019,-137860
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,El Salvador,SLV,Millions (0),17047,17921,17410,17408,18011,18468,18349,18017,18451,,603,457,-119,-332,434,-18451
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Estonia,EST,Millions (0),25237,23907,23310,23315,26966,28533,30005,30447,31201,,3651,1567,1472,442,754,-31201
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Euro area,EMU,Millions (0),17200918,16836148,16628036,17028160,17150939,17752993,18228159,18156939,18288213,,122779,602054,475166,-71220,131274,-18288213
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Finland,FIN,Millions (0),693681,639931,604906,637956,648584,664618,652368,690451,697000,,10628,16034,-12250,38083,6549,-697000
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,France,FRA,Millions (0),6483566,6459451,6268363,6750715,6779288,7117103,7394751,7378584,7511554,,28573,337815,277648,-16167,132970,-7511554
